#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
76,Saudi Arabia,836442,246,9635,,821787,381,5020,80,23335,269,45335851,1264778,35844909,Asia
77,Azerbaijan,830360,59,10197,,819660,52,503,,80616,990,7568447,734786,10300205,Asia
78,Paraguay,808943,,19902,,,,,7,110725,2724,2657506,363751,7305843,South America
79,Bahrain,717975,183,1559,,715771,155,645,2,402456,874,10805315,6056849,1783983,Asia
80,Sri Lanka,672089,,16834,,655241,,14,,31150,780,6486117,300619,21575842,Asia
81,Kuwait,665386,,2570,,660237,,2579,,151903,587,8455743,1930391,4380326,Asia
82,Dominican Republic,660937,,4384,,644785,,11768,4,59779,397,3740928,338350,11056370,North America
83,Cyprus,656904,,1350,,652318,,3236,60,536955,1103,9640118,7879860,1223387,Asia
84,Myanmar,634098,,19490,,614596,,12,,11482,353,10206602,184811,55227143,Asia
85,Palestine,621008,,5404,,615445,,159,17,116173,1011,3078533,575907,5345541,Asia
86,Moldova,618827,,12086,,504142,,102599,49,154199,3012,3216305,801437,4013171,Europe
87,Estonia,616829,,2971,,524990,,88868,3,466620,2248,3693746,2794249,1321910,Europe
88,Venezuela,552480,4,5856,,546341,13,283,31,18877,200,3359014,114771,29266991,South America
89,Egypt,515882,,24613,,442182,,49087,122,4860,232,3693367,34792,106156692,Africa
90,Libya,507229,,6437,,500769,,23,,72042,914,2483848,352782,7040745,Africa
91,China,503302,,5272,,379053,,118977,7557,347,4,160000000,110461,1448471400,Asia
92,Qatar,502436,328,689,,500470,1123,1277,37,168607,231,4065369,1364257,2979915,Asia
93,Ethiopia,500714,7,7573,,487720,1,5421,1,4145,63,5527382,45752,120812698,Africa
94,Réunion,486588,,921,,418572,,67095,10,535854,1014,1603660,1766027,908061,Africa
95,Honduras,472467,,11111,,,,,105,46224,1087,1649099,161340,10221247,North America
96,Armenia,448458,,8743,,435162,,4553,,150896,2942,3242901,1091164,2971966,Asia
97,Bosnia and Herzegovina,402573,,16325,,379084,,7164,,123895,5024,1884721,580036,3249317,Europe
98,Oman,399449,,4628,,384669,,10152,2,75028,869,25000000,4695724,5323993,Asia
99,North Macedonia,347672,,9667,,337068,,937,,167045,4645,2226216,1069626,2081304,Europe
100,Zambia,343753,,4058,,339530,,165,,17655,208,4000548,205470,19470234,Africa
101,Kenya,342983,,5688,,337243,,52,1,6101,101,3967062,70569,56215221,Africa
102,Albania,334701,10,3602,,329407,12,1692,,116768,1257,1941032,677173,2866374,Europe
103,Botswana,329830,,2801,,326969,,60,1,135112,1147,2026898,830300,2441162,Africa
104,Luxembourg,297757,,1133,,288991,,7633,,463528,1764,4412567,6869188,642371,Europe
105,Montenegro,290461,,2816,,286910,,735,6,462554,4484,2737797,4359896,627950,Europe
106,Brunei ,283345,,225,,243601,,39519,,636114,505,717784,1611437,445431,Asia
107,Algeria,271613,,6881,,182894,,81838,,5989,152,230861,5091,45350148,Africa
108,Nigeria,266665,,3155,,259938,,3572,11,1230,15,5708974,26339,216746934,Africa
109,Zimbabwe,264555,,5681,,258484,,390,12,17256,371,2525756,164744,15331428,Africa
110,Uzbekistan,252071,,1637,,241486,,8948,23,7331,48,1377915,40077,34382084,Asia
111,Mozambique,233334,,2242,,228805,,2287,11,7052,68,1371127,41437,33089461,Africa
112,Martinique,229807,,1098,,,,,12,614314,2935,828928,2215870,374087,North America
113,Laos,218037,,758,,,,,,29145,101,1233207,164845,7481023,Asia
114,Afghanistan,211623,125,7896,,192468,27,11259,45,5193,194,1220776,29954,40754388,Asia
115,Iceland,209191,,229,,,,,2,605661,663,1996384,5780036,345393,Europe
116,Kyrgyzstan,206832,,2991,,196406,,7435,131,30741,445,1907195,283460,6728271,Asia
117,Guadeloupe,202163,,1012,,,,,19,505668,2531,938039,2346306,399794,North America
118,El Salvador,201785,,4230,,179410,,18145,8,30805,646,2610114,398467,6550389,North America
119,Trinidad and Tobago,191157,,4379,,186724,,54,8,135901,3113,908533,645914,1406585,North America
120,Maldives,185810,,311,,163687,,21812,25,343466,575,2213831,4092223,540985,Asia
121,Ghana,171527,,1462,,170012,,53,2,5295,45,2534561,78238,32395450,Africa
122,Namibia,171222,,4090,,167099,,33,,65008,1553,1062663,403460,2633874,Africa
